Median Home Value,Median Household Income,Zip Code
180200,53429,95673
296100,78929,95674
295300,68160,95677
260700,60513,95678
233300,73229,95681
366900,77718,95682
405200,96165,95683
247400,53148,95684
341400,59239,95685
252400,73583,95687
348600,79452,95688
335400,78352,95689
325200,61150,95690
255300,63559,95691
181200,61627,95692
383000,76392,95693
290900,55163,95694
276500,51158,95695
305400,75217,95703
317900,68628,95709
296800,60025,95713
175000,55938,95720
358400,69231,95722
223300,55526,95726
750000,33750,95735
291100,96278,95742
600100,127736,95746
335800,86595,95747
295200,84297,95757
239800,70616,95758
472900,119382,95762
346200,84417,95765
248000,61599,95776
316100,36421,95811
296800,34085,95814
116600,31274,95815
427800,49953,95816
216900,34990,95817
408500,57500,95818
394600,81076,95819
164000,39295,95820
244500,38750,95821
220500,43624,95822
144100,37931,95823
104600,29771,95824
215900,37605,95825
201400,53432,95826
182700,51981,95827
154100,46820,95828
263300,74550,95829
506000,73333,95830
326400,68461,95831
160300,39735,95832
170700,56280,95833
204900,55177,95834
257400,79528,95835
,,95836
336700,42500,95837
130400,38271,95838
171200,36967,95841
160400,45537,95842
210200,65779,95843
437900,79778,95864
154600,40260,95901
,40000,95903
120000,22000,95910
259900,53333,95912
187500,45875,95914
173000,36875,95916
158500,43915,95917
400400,76583,95918
177400,45914,95919
364000,66250,95920
120500,24700,95922
350000,45875,95923
,,95925
270100,39216,95926
294600,45224,95928
,,95930
173900,50531,95932
152500,31250,95934
162500,56771,95935
391400,61849,95938
140600,29861,95939
171000,51417,95941
307000,41323,95942
390300,48906,95943
319800,42828,95945
336200,60750,95946
167900,31687,95947
184400,44034,95948
343000,62224,95949
161000,45414,95953
160000,39932,95954
228300,56875,95957
389200,63132,95959
209100,29773,95960
166100,46144,95961
260100,64671,95962
221900,41738,95963
144800,36080,95965
158300,42555,95966
103600,46618,95968
209100,41179,95969
218900,60658,95970
239100,50912,95971
,,95972
280100,55426,95973
290200,49688,95975
243900,50820,95977
154000,42167,95979
219400,2499,95981
189300,63277,95982
143300,51792,95983
168300,53596,95987
218900,47184,95988
162400,42589,95991
230300,64011,95993
250700,47988,96001
